DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Fees,AMOUNT,BALANCE
4/25/24,09:32:36,TRD,1000429395615,BOT +39 SPY 100 25 APR 24 498 PUT @1.40 CBOE,-0.43,-25.35,"-5,460.00","216,479.98"
4/25/24,09:34:02,TRD,1000429395662,SOLD -39 SPY 100 25 APR 24 498 PUT @1.41 CBOE,-0.58,-25.35,"5,499.00","221,953.05"
4/25/24,09:34:23,TRD,1000429395678,BOT +15 SPY 100 25 APR 24 498 PUT @1.47 BATS,-0.16,-9.75,"-2,205.00","219,738.14"
4/25/24,09:34:23,TRD,1000429395678,BOT +24 SPY 100 25 APR 24 498 PUT @1.47 BATS,-0.27,-15.60,"-3,528.00","216,194.27"
4/25/24,09:34:52,TRD,1000429395689,SOLD -39 SPY 100 25 APR 24 498 PUT @1.50,-0.59,-25.35,"5,850.00","222,018.33"
4/25/24,09:35:15,TRD,1000429395703,BOT +39 SPY 100 25 APR 24 498 PUT @1.56,-0.43,-25.35,"-6,084.00","215,908.55"
4/25/24,09:35:42,TRD,1000429395716,SOLD -39 SPY 100 25 APR 24 498 PUT @1.31,-0.58,-25.35,"5,109.00","220,991.62"
4/25/24,09:36:11,TRD,1000429395735,BOT +39 SPY 100 25 APR 24 498 PUT @1.40 CBOE,-0.43,-25.35,"-5,460.00","215,505.84"
4/25/24,09:37:10,TRD,1000429395794,SOLD -39 SPY 100 25 APR 24 498 PUT @1.56,-0.59,-25.35,"6,084.00","221,563.90"
4/25/24,09:37:33,TRD,1000429395820,BOT +34 SPY 100 25 APR 24 498 PUT @1.44 NASDAQ,-0.37,-22.10,"-4,896.00","216,645.43"
4/25/24,09:37:33,TRD,1000429395820,BOT +5 SPY 100 25 APR 24 498 PUT @1.44,-0.06,-3.25,-720.00,"215,922.12"
4/25/24,09:38:13,TRD,1000429395861,SOLD -19 SPY 100 25 APR 24 498 PUT @1.54 CBOE,-0.28,-12.35,"2,926.00","218,835.49"
4/25/24,09:38:13,TRD,1000429395861,SOLD -10 SPY 100 25 APR 24 498 PUT @1.54 CBOE,-0.16,-6.50,"1,540.00","220,368.83"
4/25/24,09:38:13,TRD,1000429395861,SOLD -10 SPY 100 25 APR 24 498 PUT @1.54 CBOE,-0.15,-6.50,"1,540.00","221,902.18"
4/25/24,09:39:25,TRD,1000429395895,BOT +19 SPY 100 25 APR 24 498 PUT @1.51 CBOE,-0.21,-12.35,"-2,869.00","219,020.62"
4/25/24,09:39:25,TRD,1000429395895,BOT +9 SPY 100 25 APR 24 498 PUT @1.51 CBOE,-0.10,-5.85,"-1,359.00","217,655.67"
4/25/24,09:39:25,TRD,1000429395895,BOT +5 SPY 100 25 APR 24 498 PUT @1.51 CBOE,-0.05,-3.25,-755.00,"216,897.37"
4/25/24,09:39:25,TRD,1000429395895,BOT +6 SPY 100 25 APR 24 498 PUT @1.51 CBOE,-0.07,-3.90,-906.00,"215,987.40"
4/25/24,09:40:06,TRD,1000429395930,SOLD -7 SPY 100 25 APR 24 498 PUT @1.55 CBOE,-0.11,-4.55,"1,085.00","217,067.74"
4/25/24,09:40:06,TRD,1000429395930,SOLD -27 SPY 100 25 APR 24 498 PUT @1.55 CBOE,-0.39,-17.55,"4,185.00","221,234.80"
4/25/24,09:40:06,TRD,1000429395930,SOLD -5 SPY 100 25 APR 24 498 PUT @1.55 CBOE,-0.09,-3.25,775.00,"222,006.46"
4/25/24,09:41:25,TRD,1000429395971,BOT +19 SPY 100 25 APR 24 498 PUT @1.47 CBOE,-0.21,-12.35,"-2,793.00","219,200.90"
4/25/24,09:41:25,TRD,1000429395971,BOT +20 SPY 100 25 APR 24 498 PUT @1.47 CBOE,-0.22,-13.00,"-2,940.00","216,247.68"
4/25/24,09:41:36,TRD,1000429395976,SOLD -26 SPY 100 25 APR 24 498 PUT @1.56 BOX,-0.39,-16.90,"4,056.00","220,286.39"
4/25/24,09:41:36,TRD,1000429395976,SOLD -13 SPY 100 25 APR 24 498 PUT @1.57,-0.20,-8.45,"2,041.00","222,318.74"
4/25/24,09:42:06,TRD,1000429395993,BOT +29 SPY 100 25 APR 24 498 PUT @1.46 CBOE,-0.32,-18.85,"-4,234.00","218,065.57"
4/25/24,09:42:06,TRD,1000429395993,BOT +10 SPY 100 25 APR 24 498 PUT @1.46,-0.11,-6.50,"-1,460.00","216,598.96"
4/25/24,09:42:17,TRD,1000430190008,SOLD -39 SPY 100 25 APR 24 498 PUT @1.43,-0.58,-25.35,"5,577.00","222,150.03"
4/25/24,09:42:26,TRD,1000430190021,BOT +7 SPY 100 25 APR 24 499 CALL @1.64,-0.08,-4.55,"-1,148.00","220,997.40"
4/25/24,09:42:26,TRD,1000430190021,BOT +4 SPY 100 25 APR 24 499 CALL @1.64,-0.04,-2.60,-656.00,"220,338.76"
4/25/24,09:42:26,TRD,1000430190021,BOT +8 SPY 100 25 APR 24 499 CALL @1.64 BOX,-0.09,-5.20,"-1,312.00","219,021.47"
